path,pred_label,conf_pct,top3_labels,top3_conf
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_8.jpg,Canon120-1,94.01,Canon120-1;Canon120-2;EpsonV39-2,94.01;4.76;0.74
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_9.jpg,Canon120-1,88.34,Canon120-1;Canon120-2;Canon9000-1,88.34;11.46;0.13
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f73 (1).jpg,HP,56.93,HP;EpsonV370-1;Canon120-1,56.93;41.67;1.05
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f73.jpg,HP,56.93,HP;EpsonV370-1;Canon120-1,56.93;41.67;1.05
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f74.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f75.jpg,HP,98.45,HP;EpsonV370-1;Canon9000-2,98.45;1.53;0.02
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f76.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f77.jpg,HP,99.98,HP;EpsonV370-1;EpsonV370-2,99.98;0.01;0.01
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f78.jpg,HP,100.00,HP;Canon120-1;EpsonV39-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f79.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f7a.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f7b.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f7c.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f7d.jpg,HP,97.70,HP;EpsonV370-1;EpsonV370-2,97.70;1.55;0.56
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f7e.jpg,HP,100.00,HP;EpsonV370-2;EpsonV550,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f7f.jpg,HP,99.99,HP;EpsonV370-2;EpsonV550,99.99;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f80.jpg,HP,99.99,HP;EpsonV550;EpsonV370-2,99.99;0.01;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f81.jpg,HP,99.99,HP;EpsonV370-2;EpsonV370-1,99.99;0.01;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f82.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f83.jpg,HP,52.48,HP;EpsonV370-1;Canon9000-1,52.48;45.80;1.41
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f84.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f85.jpg,HP,99.99,HP;EpsonV370-2;EpsonV370-1,99.99;0.01;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f86.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f87.jpg,HP,99.94,HP;EpsonV370-2;EpsonV370-1,99.94;0.04;0.01
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f88.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f89.jpg,HP,99.99,HP;EpsonV370-1;EpsonV370-2,99.99;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f8a.jpg,HP,100.00,HP;EpsonV370-2;EpsonV39-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f8b.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f8c.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f8d.jpg,HP,100.00,HP;EpsonV39-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f8e.jpg,HP,99.89,HP;EpsonV370-1;EpsonV39-2,99.89;0.08;0.03
